DEPTH,BS,CALI,CHKS,VP,VS,GR,GRN,NPHI,PHIE,PHIT,RD,RHOB,RM,RS,SWE,VSH
9866.0,8.5,7.7353,2124.9563,3304.7742,2041.8075,74.7442,82.7442,0.1347,0.2005,0.2082,21.0941,2.2729,19.3934,13.005,0.2818,8.55
9866.5,8.5,7.745,2125.0471,3337.5747,2049.7095,73.5094,81.5094,0.1308,0.1942,0.2016,24.4637,2.2863,22.2348,14.2793,0.2877,8.22
9867.0,8.5,7.7417,2125.1382,3386.6704,2059.1812,73.2671,81.2671,0.129,0.1906,0.1979,27.0428,2.294,24.4979,15.301,0.2749,8.16
9867.5,8.5,7.7439,2125.229,3456.8208,2075.2129,74.3982,82.3982,0.1262,0.1944,0.202,31.1211,2.28,28.6054,17.2261,0.2466,8.46
9868.0,8.5,7.756,2125.3201,3573.7527,2095.0613,76.02,84.02,0.1212,0.2008,0.2088,36.1349,2.2567,31.4373,18.5087,0.2147,8.89
9868.5,8.5,7.7892,2125.4109,3550.8708,2108.8318,76.1745,84.1745,0.1117,0.1917,0.1998,44.4827,2.2698,38.2284,22.7068,0.188,8.93
9869.0,8.5,7.7956,2125.5017,3422.9961,2116.1436,75.5301,83.5301,0.1015,0.1652,0.1731,45.6584,2.3274,38.1357,20.8917,0.2115,8.76
9869.5,8.5,7.8295,2125.5928,3432.5447,2124.3245,73.9467,81.9467,0.0919,0.1483,0.1558,48.2487,2.3623,39.2859,20.7923,0.2478,8.34
9870.0,8.5,7.8722,2125.6836,3536.0242,2144.8611,71.9746,79.9746,0.0906,0.1469,0.154,62.0338,2.3666,54.3062,32.608,0.2745,7.83
9870.5,8.5,7.7749,2125.7747,3769.4033,2212.3298,72.3013,80.3013,0.0909,0.1384,0.1455,69.396,2.3883,61.4576,34.9434,0.2827,7.91
9871.0,8.5,7.8135,2125.8655,4014.6626,2319.8113,73.5151,81.5151,0.0876,0.1414,0.1488,58.8354,2.3756,47.319,25.0998,0.2637,8.23
9871.5,8.5,7.7552,2125.9565,4181.3052,2420.1672,72.2913,80.2913,0.0936,0.1703,0.1774,75.1548,2.3098,65.1117,39.813,0.2019,7.91
9872.0,8.5,7.7508,2126.0471,4236.54,2403.1392,71.7397,79.7397,0.1089,0.1946,0.2016,81.4688,2.2648,70.5076,37.2736,0.163,7.77
9872.5,8.5,7.7536,2126.1372,4014.5566,2330.0347,74.6427,82.6427,0.1219,0.2018,0.2095,72.2546,2.2564,61.3673,31.236,0.1598,8.52
9873.0,8.5,7.7557,2126.2273,3702.0259,2266.1506,76.8261,84.8261,0.1261,0.2026,0.2108,74.3624,2.2562,64.2953,31.8519,0.1548,9.11
9873.5,8.5,7.7603,2126.3176,3485.8945,2190.324,75.9822,83.9822,0.1271,0.203,0.211,75.5549,2.2572,67.2889,32.8128,0.1473,8.88
